ID,Location-batiment,ROOM,Ground/Floor,Asset type,"Hostname/
Label",Name/Profile of current user,Brand/Model/Qty/HostSRV,Specs1,Specs2,Serial Number,Status,Vendor,Purchase date,"Purchase
price (TTC)",P.O. #,Last user,Notes
G,Economat ,IT Storage Room,,AP Mount,NA,,AIR-AP 1815I,,,,Available,?,?, $-   ,?,,
G,Economat ,IT Storage Room,,AP Mount,NA,,AIR-AP 1815I,,,,Available,?,?, $-   ,?,,
,Economat,IT Storage Room,,Cable - AUX,,,male to female (extention),,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,male to female (extention),,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,male to female (extention),,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,male to female (extention),,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,aux cable av.cable 3m,,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,aux cable av.cable 3m,,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,aux cable av.cable 3m,,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,aux cable av.cable 3m,,,,Available,,,,,,
,Economat,IT Storage Room,,Cable - AUX,,,aux cable av.cable 3m,,,,Available,,,,,,
Z,Economat ,IT Storage Room,,Cable - AUX To RCA,NA,,mkt,AUX to RCA,2m,,Available,,"Thursday, January 16, 2025",$4.50 ,,,
Z,Economat ,IT Storage Room,,Cable - AUX To RCA,NA,,mkt,AUX to RCA,2m,,Available,,"Thursday, January 16, 2025",$4.50 ,,,
Z,Economat ,IT Storage Room,,Cable - AUX To RCA,NA,,mkt,AUX to RCA,2m,,Available,,"Thursday, January 16, 2025",$4.50 ,,,
